sample_id,library_size
CGND-HRA-00965,256169274
CGND-HRA-00966,309177972
CGND-HRA-00967,291208100
CGND-HRA-00968,257701574
CGND-HRA-00969,299847560
CGND-HRA-00970,277836012
CGND-HRA-00971,271438278
CGND-HRA-00972,259484504
CGND-HRA-00973,293138928
CGND-HRA-00974,256847214
CGND-HRA-00975,246988532
CGND-HRA-00976,257060466
CGND-HRA-00978,268328364
CGND-HRA-00979,226046264
CGND-HRA-00980,289596806
CGND-HRA-00981,272716346
CGND-HRA-00982,281092890
CGND-HRA-00983,241126964
CGND-HRA-00985,287684120
CGND-HRA-00986,276622030
CGND-HRA-00987,207519988
CGND-HRA-00988,377589398
CGND-HRA-00990,279463238
CGND-HRA-00992,94743300
CGND-HRA-00993,101151704
CGND-HRA-00994,101225694
CGND-HRA-00996,109644720
CGND-HRA-00997,107194404
CGND-HRA-00998,97847774
CGND-HRA-00999,110530080
CGND-HRA-01000,88338682
CGND-HRA-01001,103024918
CGND-HRA-01003,87771910
CGND-HRA-01004,122489374
CGND-HRA-01005,97409348
CGND-HRA-01007,98060130
CGND-HRA-01008,86169920
CGND-HRA-01009,88389146
